"nodeID","nodeLabel","latitude","longitude","country_name","country_ISO3"
"1","Tralee",52.2719879999999,-9.6988820000002,"Ireland","IRL"
"4","Farranfore",52.1751059999998,-9.55242300000018,"Ireland","IRL"
"7","Westport",53.7968904999998,-9.5112455000002,"Ireland","IRL"
"8","Killarney",52.0693289999998,-9.5059650000002,"Ireland","IRL"
"16","Cascais",38.7008439999998,-9.41824200000019,"Portugal","PRT"
"19","Monte Estoril",38.7035194999999,-9.40652850000018,"Portugal","PRT"
"20","Estoril",38.7032109999999,-9.3987180000002,"Portugal","PRT"
"23","Sintra",38.7986694999998,-9.38618300000019,"Portugal","PRT"
"24","S. João do Estoril",38.7011624999999,-9.3857835000002,"Portugal","PRT"
"27","Portela de Sintra",38.8022444999999,-9.3766670000002,"Portugal","PRT"
"28","S. Pedro do Estoril",38.6954204999998,-9.3719485000002,"Portugal","PRT"
"33","Parede",38.6897264999999,-9.3564020000002,"Portugal","PRT"
"38","Algueirão-Mem Martins",38.7975824999999,-9.34178600000018,"Portugal","PRT"
"40","Carcavelos",38.6878279999999,-9.3372755000002,"Portugal","PRT"
"44","Mercês",38.7932104999998,-9.33057450000018,"Portugal","PRT"
"47","Rio de Mouro",38.7844944999999,-9.32162350000019,"Portugal","PRT"
"49","Oeiras",38.6883599999998,-9.3184540000002,"Portugal","PRT"
"51","Mira Sintra-Meleças",38.7895064999998,-9.31273450000018,"Portugal","PRT"
"56",,38.7810029999999,-9.30543250000019,"Portugal","PRT"
"57",,38.7802029999999,-9.3049475000002,"Portugal","PRT"
"58",,38.7793829999999,-9.3049455000002,"Portugal","PRT"
"59",,38.7753129999998,-9.3048100000002,"Portugal","PRT"
"66","Paço de Arcos",38.6970999999999,-9.29091700000018,"Portugal","PRT"
"67","Castlebar",53.8473074999998,-9.28942600000019,"Ireland","IRL"
"70","Massamá-Barcarena",38.7515734999999,-9.28403650000018,"Portugal","PRT"
"73","Caxias",38.6987219999999,-9.2742715000002,"Portugal","PRT"
"74",,53.8449784999998,-9.27341000000018,"Ireland","IRL"
"78","Monte Abraão",38.7550514999999,-9.26575250000019,"Portugal","PRT"
"80","Malveira",38.9287864999999,-9.25734200000019,"Portugal","PRT"
"83","Torres Vedras",39.0927374999999,-9.2543685000002,"Portugal","PRT"
"85","Cruz Quebrada",38.6997889999999,-9.25218750000019,"Portugal","PRT"
"87","Amadora",38.7599449999998,-9.2359280000002,"Portugal","PRT"
"91","Algés",38.6983364999999,-9.22952500000019,"Portugal","PRT"
"93","Rathmore",52.0863329999999,-9.21692200000018,"Ireland","IRL"
"99","Manulla Junction",53.8270974999998,-9.20052050000018,"Ireland","IRL"
"101",,53.8249244999998,-9.19966300000019,"Ireland","IRL"
"107",,38.7440754999999,-9.18275750000018,"Portugal","PRT"
"108",,53.8193929999998,-9.18058100000019,"Ireland","IRL"
"110",,38.6997314999998,-9.17934150000019,"Portugal","PRT"
"111",,38.6998979999998,-9.1793060000002,"Portugal","PRT"
"112",,38.6997554999999,-9.1792810000002,"Portugal","PRT"
"116",,38.6919849999998,-9.17755750000018,"Portugal","PRT"
"120",,38.7403524999999,-9.17505450000019,"Portugal","PRT"
"122",,38.7025879999998,-9.1749710000002,"Portugal","PRT"
"129",,38.7226329999999,-9.17327300000019,"Portugal","PRT"
"130",,38.7225979999999,-9.17312250000018,"Portugal","PRT"
"132",,38.7386189999999,-9.17130550000019,"Portugal","PRT"
"133",,38.7386654999999,-9.17129700000018,"Portugal","PRT"
"134",,38.7386084999999,-9.17113800000018,"Portugal","PRT"
"135",,38.7277679999999,-9.1711110000002,"Portugal","PRT"
"136",,38.7373564999999,-9.16957200000019,"Portugal","PRT"
"137",,38.7361414999999,-9.16948450000018,"Portugal","PRT"
"138",,38.7350539999998,-9.16891800000019,"Portugal","PRT"
"139",,38.7321884999999,-9.16842250000019,"Portugal","PRT"
"140",,38.7342249999999,-9.1682260000002,"Portugal","PRT"
"141",,38.7396154999998,-9.16777500000018,"Portugal","PRT"
"149","Ballina",54.1130524999998,-9.15926050000019,"Ireland","IRL"
"155","Bombarral",39.2650624999999,-9.15336150000019,"Portugal","PRT"
"156","Corroios",38.6365284999999,-9.15168650000018,"Portugal","PRT"
"162","Lisboa-Rossio",38.7151709999999,-9.1428750000002,"Portugal","PRT"
"163","Caldas da Rainha",39.4064839999999,-9.14012350000019,"Portugal","PRT"
"165","Foxford",53.9823279999998,-9.1366635000002,"Ireland","IRL"
"168","Foros de Amora",38.6206794999999,-9.1288145000002,"Portugal","PRT"
"169",,38.7429394999999,-9.12320800000018,"Portugal","PRT"
"171",,38.7393959999999,-9.11934050000019,"Portugal","PRT"
"172",,38.7317699999998,-9.11679700000019,"Portugal","PRT"
"173",,38.7371924999998,-9.1146980000002,"Portugal","PRT"
"181",,38.7354274999998,-9.10709500000019,"Portugal","PRT"
"182",,38.7405104999999,-9.1068080000002,"Portugal","PRT"
"183",,38.7456839999998,-9.1032185000002,"Portugal","PRT"
"184","Fogueteiro",38.6098319999998,-9.10156650000019,"Portugal","PRT"
"187",,38.7551379999998,-9.1004155000002,"Portugal","PRT"
"188","Sacavém",38.7954504999998,-9.09954350000018,"Portugal","PRT"
"189","Moscavide",38.7778539999998,-9.09941550000019,"Portugal","PRT"
"195","Santa Iria",38.8409484999999,-9.0799825000002,"Portugal","PRT"
"196","Barreiro",38.6524074999999,-9.07956300000018,"Portugal","PRT"
"200","Barreiro-A",38.6594349999999,-9.07198650000018,"Portugal","PRT"
"201","Millstreet",52.0774554999998,-9.0711685000002,"Ireland","IRL"
